Product Name,Price,Store,URL
"XIAOMI Redmi Note 14 6.67"" 8GB RAM/256 GB ROM HyperOS -108MP AI Camera -Ocean Blue",350000.0,Jumia,https://www.jumia.com.ng/xiaomi-redmi-note-14-6.67-8gb-ram256-gb-rom-hyperos-108mp-ai-camera-ocean-blue-404523102.html
"XIAOMI Redmi Note 14 Pro-6.67"",8/256GB,200MP-Midnight Black",405399.0,Jumia,https://www.jumia.com.ng/xiaomi-redmi-note-14-pro-6.678256gb200mp-midnight-black-413670894.html
Xiaomi Redmi Note 13 Pro 8GB+256GB,414800.0,Slot,https://slot.ng/index.php/xiaomi-redmi-note-13-pro-8gb-256gb.html
"XIAOMI Redmi Note 14 Pro - 6.67"" (256GB/8GB) 200MP, 4G Dual SIM, 5500mAh - Black",434000.0,Jumia,https://www.jumia.com.ng/redmi-note-14-pro-6.67-256gb8gb-200mp-4g-dual-sim-5500mah-black-xiaomi-mpg9968559.html
"XIAOMI Redmi Note 14 Pro - 6.67"" (256GB/8GB) 200MP, 4G Dual SIM, 5500mAh - Purple",434000.0,Jumia,https://www.jumia.com.ng/redmi-note-14-pro-6.67-256gb8gb-200mp-4g-dual-sim-5500mah-purple-xiaomi-mpg9968157.html
"XIAOMI Redmi Note 14 Pro - 6.67"" (256GB/8GB) 200MP, 4G Dual SIM, 5500mAh - Black",445000.0,Jumia,https://www.jumia.com.ng/xiaomi-redmi-note-14-pro-6.67-256gb8gb-200mp-4g-dual-sim-5500mah-black-404843970.html
"XIAOMI Redmi Note 14 PRO 6.67"" 12GB RAM/512 GB ROM HyperOS -200MP AI Camera - Midnight Black",448616.0,Jumia,https://www.jumia.com.ng/xiaomi-redmi-note-14-pro-6.67-12gb-ram512-gb-rom-hyperos-200mp-ai-camera-midnight-black-401065213.html
"Hp Laptop 14s-dq3041nia (Pentium N6000/4GB ddr4 /512GB ssd/14"" hd/dos)",471000.0,Slot,https://slot.ng/index.php/hp-laptop-14s-dq3041nia-pentium-n6000-4gb-ddr4-512gb-ssd-14-hd-dos.html
"XIAOMI Redmi Note 14 Pro-6.67"",12/512GB,200MP-Midnight Black",484599.0,Jumia,https://www.jumia.com.ng/xiaomi-redmi-note-14-pro-6.6712512gb200mp-midnight-black-362051004.html
"Asus Vivobook Go 14 TP1400KA-BZ221W (INTEL PENTIUM N6000/4GB/512GB/14"" HD/WIN11H)",517000.0,Slot,https://slot.ng/index.php/asus-vivobook-go-14.html
"XIAOMI Redmi Note 14 Pro - 6.67"" (512GB/12GB) 200MP, 4G Dual SIM, 5500mAh - Black",520000.0,Jumia,https://www.jumia.com.ng/redmi-note-14-pro-6.67-512gb12gb-200mp-4g-dual-sim-5500mah-black-xiaomi-mpg11425196.html
"XIAOMI Redmi Note 14 Pro - 6.67"" (512GB/12GB) 200MP, 4G Dual SIM, 5500mAh - Purple",520000.0,Jumia,https://www.jumia.com.ng/redmi-note-14-pro-6.67-512gb12gb-200mp-4g-dual-sim-5500mah-purple-xiaomi-mpg11366216.html
"XIAOMI Redmi Note 14 Pro - 6.67"" (512GB/12GB) 200MP, 4G Dual SIM, 5500mAh - Blue",520000.0,Jumia,https://www.jumia.com.ng/redmi-note-14-pro-6.67-512gb12gb-200mp-4g-dual-sim-5500mah-blue-xiaomi-mpg9978774.html
"XIAOMI Redmi Note 14 Pro+ 5G 6.67"" 8GB RAM/256 GB ROM HyperOS - Frost Blue",539000.0,Jumia,https://www.jumia.com.ng/xiaomi-redmi-note-14-pro-5g-6.67-8gb-ram256-gb-rom-hyperos-frost-blue-401043825.html
HP laptop 14s-dq5001nia (CORE I3-1215U/4GB DDR4/256GB SSD/14 HD/FreeDOS),543000.0,Slot,https://slot.ng/index.php/hp-laptop-14s-dq5001nia-core-i3-1215u-4gb-ddr4-256gb-ssd-14-hd-freedos.html
"Asus Vivobook GO 14 X1404ZA-NK758 (CORE i3-1215U  8GB DDR4/ 512GB NVME SSD/ 14"" FHD/ FREEDOS)",553000.0,Slot,https://slot.ng/index.php/asus-vivobook-go-14-x1404za-nk758-core-i3-1215u-8gb-ddr4-512gb-nvme-ssd-14-fhd-freedos.html
"XIAOMI Redmi Note 14 Pro+ 5G 6.67"" 8GB RAM/256 GB ROM HyperOS - Lavender Purple",559899.0,Jumia,https://www.jumia.com.ng/xiaomi-redmi-note-14-pro-5g-6.67-8gb-ram256-gb-rom-hyperos-lavender-purple-401043829.html
"HP LAPTOP 14s-DQ51000nia (CORE I3-1215U/8GB DDR4/512GB SSD/14""HD/FreeDOS)",567000.0,Slot,https://slot.ng/index.php/hp-laptop-14sdq51000nia-core-i3-1215u-8gb-ddr4-512gb-ssd-14-hd-freedos.html
"XIAOMI Redmi Note 14 Pro+ 5G 6.67"" 8GB RAM/256 GB ROM HyperOS - Midnight Black",569000.0,Jumia,https://www.jumia.com.ng/xiaomi-redmi-note-14-pro-5g-6.67-8gb-ram256-gb-rom-hyperos-midnight-black-401065215.html
"XIAOMI Redmi Note 14Pro+ - 6.67"" (8GB RAM, 256GB ROM) Android 14 (200MP/8/2)MP + 20MP - Snapdragon 5G - 5110mAh - Dual Sim - Midnight Black",600000.0,Jumia,https://www.jumia.com.ng/xiaomi-redmi-note-14pro-6.67-8gb-ram-256gb-rom-android-14-200mp82mp-20mp-snapdragon-5g-5110mah-dual-sim-midnight-black-418292243.html
HP Laptop 14s-dq5003nia Core I3-1215U/4GB DDR4/256GB SSD/14 HD/FreeDOS,608000.0,Slot,https://slot.ng/index.php/hp-laptop-14s-dq5003nia-core-i3-1215u-4gb-ddr4-256gb-ssd-14-hd-freedos.html
Xiaomi Redmi Note 14 Pro Plus 8GB+256GB,619800.0,Slot,https://slot.ng/index.php/xiaomi-redmi-note-14-pro-plus-8gb-256gb.html
"XIAOMI Redmi Note 14 Pro+ 5G 6.67"" 12GB RAM/512 GB ROM, Android 14 HyperOS, Dual Sim - Black",635000.0,Jumia,https://www.jumia.com.ng/xiaomi-redmi-note-14-pro-5g-6.67-12gb-ram512-gb-rom-android-14-hyperos-dual-sim-black-412866398.html
"XIAOMI Redmi Note 14 Pro+ 5G 6.67"" 12GB RAM/512 GB ROM, Android 14 HyperOS, Dual Sim - Black",639999.0,Jumia,https://www.jumia.com.ng/xiaomi-redmi-note-14-pro-5g-6.67-12gb-ram512-gb-rom-android-14-hyperos-dual-sim-black-412866487.html
"XIAOMI Redmi Note 14 Pro+ 6.67"" 12GB RAM 512GB ROM Android 14 Dual SIM - Midnight Black",640000.0,Jumia,https://www.jumia.com.ng/redmi-note-14-pro-6.67-12gb-ram-512gb-rom-android-14-dual-sim-midnight-black-xiaomi-mpg11004586.html
"XIAOMI Redmi Note 14 Pro+ 5G 6.67"" 12GB RAM/512 GB ROM, Android 14 HyperOS, Dual Sim  - Black",644999.0,Jumia,https://www.jumia.com.ng/xiaomi-redmi-note-14-pro-5g-6.67-12gb-ram512-gb-rom-android-14-hyperos-dual-sim-black-412851915.html
XIAOMI Redmi Note 13 Pro Plus (8GB+256GB) 5G,651800.0,Slot,https://slot.ng/index.php/xiaomi-redmi-note-13-pro-plus-8gb-256gb-5g.html
"XIAOMI Redmi Note 14 Pro+ 5G - 6.67"" (256GB/8GB) Dual SIM, 200MP, 6200mAh - Black",675000.0,Jumia,https://www.jumia.com.ng/redmi-note-14-pro-5g-6.67-256gb8gb-dual-sim-200mp-6200mah-black-xiaomi-mpg11405265.html
"XIAOMI Redmi Note 14 Pro+ 5G-6.67"",12/512GB,200/16MP-Midnight Black",715699.0,Jumia,https://www.jumia.com.ng/xiaomi-redmi-note-14-pro-5g-6.6712512gb20016mp-midnight-black-301705231.html
"Asus Vivobook 14 X1404ZA-NK322W (CORE i5-1235U/ 8GB DDR4/ 512GB PCIE SSD /14"" FHD/ WIN 11H)",720000.0,Slot,https://slot.ng/index.php/asus-vivobook-14-x1404za-nk322w-core-i5-1235u-8gb-ddr4-512gb-pcie-ssd-14-fhd-win-11h.html
Xiaomi Redmi Note 13 Pro Plus 12GB+512GB 5G,736800.0,Slot,https://slot.ng/index.php/xiaomi-redmi-note-13-pro-plus-12gb-512gb-5g.html
"XIAOMI Redmi Note 14 Pro+ 5G - 6.67"" (512GB/12GB) Dual SIM, 200MP, 6200mAh - Black",770000.0,Jumia,https://www.jumia.com.ng/redmi-note-14-pro-5g-6.67-512gb12gb-dual-sim-200mp-6200mah-black-xiaomi-mpg11379379.html
"XIAOMI Redmi Note 14 Pro+ 5G - 6.67"" (512GB/12GB) Dual SIM, 200MP, 6200mAh - Black",779999.0,Jumia,https://www.jumia.com.ng/xiaomi-redmi-note-14-pro-5g-6.67-512gb12gb-dual-sim-200mp-6200mah-black-405173852.html
Oppo Reno 14 12GB+512GB 5G,900200.0,Slot,https://slot.ng/index.php/pre-order-oppo-reno-14-12gb-512gb-5g.html
